,Photographer,Country,Story
1403,Robin Hammond,New Zealand,"The winner of two World Press Photo prizes, the RF Kennedy Journalism Award, three Pictures of the Year International Awards, the W.Eugene Smith Award for Humanistic Photography, and the recipient of five Amnesty International awards for Human Rights journalism, Robin Hammond has dedicated his career to documenting human rights and development issues around the world through long term photographic projects.In 2015, Robin was named by Foreign Policy as one of the “100 Leading Global Thinkers”. Robin has published three books, two as the result of awards. First, after being awarded the Carmignac Gestion Photojournalism Award, was his book on life in Zimbabwe under the rule of Robert Mugabe, ‘Your Wounds Will Be Named Silence.’ Secondly, his long-term project on mental health in Africa, ‘Condemned,’ which was published after winning the FotoEvidence book award for documenting social injustice. His third book, ‘My Lagos’, was published in September 2016.Robin has made a wide variety of other photographic bodies from the impact of climate change on Pacific Island communities to rape used as a weapon of war in Congo and Bosnia, the poisoning of ecosystems by multi-nationals in developing countries, to cover stories for National Geographic on Gender and immigration to Europe.His latest work on homophobia and trans-phobia around the world, ‘Where Love Is Illegal’, has become a popular social media campaign gaining 100,000 followers in the first three months after it launched, and has been exhibited around the world and featured in many publications including on the cover of Time Magazine. It was the subject of his TEDx Talk delivered in November 2015.Robin is the founder of Witness Change, a non-profit organization dedicated to advancing human rights through highly visual story telling. His work has appeared on television, online and worldwide in magazines and newspapers. He is a National Geographic and Time Magazine contributing photographer. Born in New Zealand, Robin has lived in Japan, South Africa, and France. He is currently based in the United Kingdom. He is represented by NOOR."
1404,Sara Naomi Lewkowicz,USA,"She received her master's degree in visual communication from Ohio University in Athens and received her bachelor's degree in journalism from the University of North Carolina at Chapel Hill.Her work has been published in Time magazine, Der Spiegel, Stern, L’Espresso, Das Magazin (Switzerland), New York Magazine, Days Japan, Internatzionale, Politiken and numerous other magazines and newspapers. She has won several grants and awards, including the 2013 Sony World Photography Organization L’Iris D’Or, 2013 Alexia Student Grant, first place in contemporary issues in World Press Photo and the 2013 Ville de Perpignan Remi Ochlik Award, and she has been named the 2013 College Photographer of the Year by CPOY. Other awards and honors have included being recognized by POYi, Days Japan, the World Report Award by Festival for Ethical Photography in Italy, and numerous others."
1405,Christopher Vanegas,Mexico,"Christopher Vanegas is a Mexican photographer born in Saltillo, Coahuila. He has worked as a producer and cameraman and has collaborated with Televisión Azteca and RCG Televisión (Mexico). He currently works as a photojournalist for the Mexican newspaper Vanguardia."
1406,Maciek Nabrdalik,Poland,"Maciek Nabrdalik is a documentary photographer, based in Warsaw, Poland, and represented by VII Photo agency. Although Nabrdalik works worldwide, his main concentration is on sociological changes in Eastern Europe. His work has been exhibited in the US, Mexico, France, Italy, Germany, Czech Republic, Greece and Poland. His work appears in the Smithsonian, L’Espresso, Stern, Newsweek , Polityka, The New York Times and The Wall Street Journal, among others.His awards include honors from World Press Photo, Pictures of the Year International (2011 and 2013), NPPA The Best of Photojournalism (2010, 2011, and 2012) and multiple awards in his native Poland. In 2012, he was awarded a grant from the Polish Ministry of Culture and National Heritage to continue his project on Nazi camp survivors worldwide, which was published in 2013 as a book called The Irreversible."
1407,Rena Effendi,Azerbaijan,"Born in Baku, Azerbaijan, Rena Effendi is an award winning documentary photographer focusing on issues of conflict, social justice and the environment. She is currently based in Istanbul, Turkey. "
1408,Alessandro Penso,Italy,
1409,Pau Barrena,Spain,"Pau Barrena was born in 1986 in Barcelona, Spain. He studied advertising and public relations and received several internships in Europe and east Asia. His postgraduate studies were in photojournalism and he began his photography career documenting the 2011 social protests in his hometown. He has also worked as a freelancer in Spain, Morocco, Senegal and Croatia."
1410,Emiliano Lasalvia,Argentina,"Emiliano Lasalvia (1978) was studying astronomy when he began working as a photographer for the El Dia de la Plata newspaper in 2002. Two years later, he began to work at the La Nacion newspaper. He has collaborated with El Grafico magazine and for agencies like Getty Images Latin America."
1411,Nikita Shokhov,Russia,"The Russian photographer Nikita Shokhov began his photographic career in Russia after studying law at the Ural Law College, photography and multimedia at the Rodchenko Moscow School of Photography and direction of photography at the Sverdlovsk Film Studio.His photographs have been exhibited internationally at venues, which include the Zurab Tsereteli Art Gallery in Moscow, the GUP gallery in Amsterdam, the Multimedia Art Museum in Moscow and the International Center of Photography in New York.His work has appeared in a wide range of publications, including Lenta.ru, Le Monde, L'INSENSE Photo, Elle and TimeOut. Shokhov currently lives and works in Moscow, Russia."
1412,Carla Kogelman,The Netherlands,"She won 1st Prize at the Zilveren Camera 2011 with a series of portraits of actors back stage.  She won the SO (Selection Of Dutch photography) Awards 2013, the national photography portfolio contest.  With her series ICH BIN WALDVIERTEL she won first prize Observed Stories at World Press Photo 2014, the Cortona on the Move 2014 Happiness Award, the PF Portfolio and the winner of the Alfred Fried Award. She won in total six prizes at the Zilveren Camera and the 2nd prize at the Paul Peters photo Prize.In her work she captures the daily life of people, especially children. Being around the same people for a long time, she becomes invisible.  This gives her the opportunity to get a good insight into the lives of her subjects and reach the real story behind what is observed superficially.Another fascination is the back stage life of theatre, film and sport.In 2012, she was commissioned by Szene Bunte Wähne, a youth theater festival in Austria, to make a documentary about the rural Waldviertel region. The region is situated between Vienna and Czech Republic. Carla studied the daily life of Hanna and Alena, two children in a farmer's family in a small organic herbal village. She continued the series in the following summers and is still working on the series.Most fascinating to her is how the children in different circumstances interact with each other, how their bodies communicate, and how the relationships emerge and evolve.Alongside she gives lectures, masterclasses and workshops to various audiences about personal photography."
